timestamp,query,expected_rule,actual_top_rules,hit_at_position,should_rewrite,rewrite_correct,retrieval_score
2026-01-16T14:38:27.406668,sentence with passive voice,PASSIVE_VOICE,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,1,True,True,1.00
2026-01-16T14:38:27.407990,very long sentence with many clauses,LONG_SENTENCES,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,2,True,True,0.50
2026-01-16T14:38:27.409061,text with very important adverb,ADVERBS,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,3,True,True,0.33
2026-01-16T14:38:27.410165,UI button label says Save,UI_LABEL,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,False,False,0.00
2026-01-16T14:38:27.411144,error code ERROR_404 in documentation,ERROR_CODE,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,False,False,0.00
2026-01-16T14:38:27.411144,how to write a procedure,PATTERN_PROCEDURE,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,False,False,0.00
2026-01-16T14:38:27.411144,when to use numbered lists,PATTERN_LISTS,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,False,False,0.00
2026-01-16T14:38:27.411144,nominalization in sentence,NOMINALIZATIONS,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,True,True,0.00
2026-01-16T14:38:27.411144,vague terms like various and several,VAGUE_TERMS,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,True,True,0.00
2026-01-16T14:38:27.411144,inconsistent verb tense,VERB_TENSE,PASSIVE_VOICE|LONG_SENTENCES|ADVERBS,0,True,True,0.00
